id,label
0,5
1,3
2,6
3,3
4,3
5,3
6,0
7,6
8,2
9,5
10,3
11,5
12,5
13,6
14,6
15,5
16,5
17,5
18,5
19,3
20,6
21,6
22,4
23,3
24,3
25,3
26,5
27,4
28,5
29,5
30,3
31,2
32,3
33,6
34,6
35,3
36,2
37,5
38,4
39,3
40,3
41,3
42,3
43,3
44,3
45,6
46,6
47,3
48,5
49,5
50,6
51,3
52,5
53,3
54,3
55,0
56,4
57,6
58,5
59,6
60,5
61,5
62,4
63,5
64,5
65,3
66,6
67,6
68,6
69,3
70,6
71,5
72,6
73,6
74,5
75,5
76,5
77,3
78,4
79,6
80,0
81,2
82,6
83,6
84,5
85,6
86,3
87,3
88,6
89,3
90,5
91,3
92,2
93,2
94,0
95,0
96,3
97,3
98,3
99,4
100,3
101,5
102,4
103,3
104,5
105,6
106,5
107,5
108,6
109,6
110,3
111,0
112,5
113,0
114,3
115,5
116,3
117,6
118,5
119,3
120,5
121,4
122,4
123,5
124,3
125,3
126,5
127,3
128,5
129,5
130,5
131,5
132,3
133,6
134,2
135,5
136,6
137,3
138,6
139,6
140,6
141,3
142,3
143,3
144,2
145,4
146,3
147,5
148,4
149,5
150,3
151,3
152,5
153,3
154,5
155,5
156,5
157,6
158,5
159,3
160,0
161,3
162,3
163,4
164,5
165,6
166,5
167,2
168,5
169,3
170,5
171,3
172,5
173,2
174,3
175,4
176,3
177,6
178,6
179,5
180,4
181,3
182,5
183,3
184,5
185,4
186,6
187,3
188,0
189,3
190,3
191,3
192,5
193,5
194,3
195,6
196,5
197,6
198,0
199,6
200,3
201,2
202,0
203,3
204,3
205,6
206,3
207,4
208,3
209,3
210,5
211,6
212,0
213,4
214,6
215,5
216,5
217,3
218,3
219,6
220,3
221,3
222,6
223,6
224,4
225,3
226,5
227,3
228,3
229,3
230,3
231,3
232,6
233,3
234,2
235,4
236,3
237,4
238,4
239,5
240,3
241,4
242,6
243,2
244,6
245,3
246,3
247,0
248,6
249,3
250,4
251,4
252,6
253,5
254,3
255,3
256,3
257,3
258,6
259,6
260,6
261,6
262,5
263,3
264,5
265,6
266,5
267,3
268,3
269,6
270,6
271,2
272,5
273,3
274,6
275,3
276,3
277,5
278,6
279,6
280,3
281,0
282,6
283,6
284,3
285,3
286,3
287,3
288,0
289,3
290,3
291,6
292,6
293,6
294,3
295,4
296,5
297,6
298,3
299,3
300,3
301,4
302,5
303,3
304,0
305,3
306,5
307,3
308,3
309,3
310,3
311,3
312,6
313,3
314,5
315,3
316,2
317,5
318,3
319,3
320,5
321,5
322,3
323,3
324,6
325,2
326,3
327,3
328,3
329,3
330,3
331,6
332,3
333,3
334,5
335,3
336,3
337,6
338,0
339,3
340,3
341,5
342,4
343,6
344,6
345,6
346,3
347,5
348,3
349,0
350,3
351,5
352,6
353,3
354,3
355,2
356,3
357,4
358,3
359,0
360,3
361,5
362,3
363,3
364,5
365,3
366,3
367,5
368,5
369,2
370,3
371,5
372,6
373,5
374,4
